string_loading__s_file___;Loading %s file&#8230||;Loading %s file&#8230||
settings;Settings;Settings
file_extension_title;File Extensions;File Extensions
string_please_wait;Please wait;Please wait
folder_depth_summary;If enabled, all files found in subfolders will be shown;If enabled, all files found in subfolders will be shown
file_extension_summary;Files with selected extensions will be available for opening;Files with selected extensions will be available for opening
folder_depth_title;Read folders recursefly;Read folders recursefly
