text_select_ts;Select Total Station;Select Total Station
ts_exchange_title;TS Bluetooth Exchange;TS Bluetooth Exchange
ts_exchange_progress;Exchange Progress;Exchange Progress
generic_import;Generic Bluetooth Import;Generic Bluetooth Import
search_hint;Search;Search
leica_gsi_import;Leica GSI Bluetooth Import;Leica GSI Bluetooth Import
generic_export;Generic Bluetooth Export;Generic Bluetooth Export
leica_gsi_export;Leica GSI Bluetooth Export;Leica GSI Bluetooth Export
ts_exchange_version;version 1.0 build 09/05/2015;version 1.0 build 09/05/2015
