string_heights__from__1_f_to__2_f;Heights (from %1$f to %2$f;Heights (from %1$f to %2$f
string_contorining_is_over_with_an_error;Contorining is over with an error;Contorining is over with an error
string_contouring_deleted;Contouring deleted;Contouring deleted
string_contouring_is_over;Contouring is over;Contouring is over
string_contouring_has_succesfully_done;Contouring has succesfully done;Contouring has succesfully done
string_all_contouring_triangles_and_isolines_have_removed;All contouring triangles and isolines have removed;All contouring triangles and isolines have removed
